original_title,combined_features,title
Arizona Dream (1993),comedy drama fantasy romance year1993,arizonadream
Jennifer's Body (2009),comedy horror scifi thriller year2009,jennifersbody
Perfect Stranger (2007),crime drama mystery thriller year2007,perfectstranger
Trapped (1949),crime drama mystery thriller year1949,trapped
Beverly Hills Cop II (1987),action comedy crime thriller year1987,beverlyhillscopii
"Mr. Wong, Detective (1938)",crime drama mystery thriller year1938,mrwongdetective
Tension (1949),crime drama filmnoir romance year1949,tension
Implanted (2013),drama mystery scifi thriller year2013,implanted
Bound (1996),crime drama romance thriller year1996,bound
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),action comedy crime thriller year1992,supercoppolicestory3supercopjingchagushiiiichaojijingcha
Evidence of Blood (1998),crime drama mystery thriller year1998,evidenceofblood
Gunfighters (1947),action drama romance western year1947,gunfighters
The Legend of Sarila (2013),adventure animation children year2013,thelegendofsarila
"Monster in Paris, A (Un monstre à Paris) (2011)",adventure animation children year2011,monsterinparisaunmonstreparis
Batman: The Killing Joke (2016),action animation crime drama year2016,batmanthekillingjoke
Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999),action comedy crime thriller year1999,nowheretohideinjeongsajeongbolgeoteobtda
Jindabyne (2006),crime drama mystery thriller year2006,jindabyne
Fantasma d'amore (1981),drama horror mystery romance year1981,fantasmadamore
Trigger Man (2007),action drama horror thriller year2007,triggerman
That Girl in Yellow Boots (2010),crime drama mystery thriller year2010,thatgirlinyellowboots
"Jungo Goes Bananas: Jungo III (Jungledyret Hugo: Fræk, flabet og fri) (2007)",adventure animation children year2007,jungogoesbananasjungoiiijungledyrethugofrkflabetogfri
Balto III: Wings of Change (2004),adventure animation children year2004,baltoiiiwingsofchange
"Death of Maria Malibran, The (Der Tod der Maria Malibran) (1972)",comedy drama fantasy musical year1972,deathofmariamalibranthedertoddermariamalibran
"Anniversary, The (1968)",comedy drama horror thriller year1968,theanniversary
Airbag (1997),action comedy crime thriller year1997,airbag
Dead Sea (2014),action horror scifi thriller year2014,deadsea
The Capture of the Green River Killer (2008),crime drama mystery thriller year2008,thecaptureofthegreenriverkiller
Demonlover (2002),crime drama mystery thriller year2002,demonlover
Plain Truth (2004),crime drama mystery thriller year2004,plaintruth
Hellbent (1988),drama fantasy horror mystery year1988,hellbent
"Pledge, The (2001)",crime drama mystery thriller year2001,thepledge
Tango & Cash (1989),action comedy crime thriller year1989,tangocash
Doomed to Die (1940),crime drama mystery thriller year1940,doomedtodie
Night At The Golden Eagle (2002),action adventure crime drama year2002,nightatthegoldeneagle
Parent Trap III (1989),action children comedy drama year1989,parenttrapiii
Flaxy Martin (1949),crime drama filmnoir mystery year1949,flaxymartin
Drumline (2002),comedy drama musical romance year2002,drumline
"Best Little Whorehouse in Texas, The (1982)",comedy drama musical romance year1982,thebestlittlewhorehouseintexas
Before You Say 'I Do' (2009),comedy drama fantasy romance year2009,beforeyousayido
Salaam-E-Ishq (2007),comedy drama musical romance year2007,salaameishq
Highway to Hell (1991),action comedy fantasy horror year1991,highwaytohell
"Good Night to Die, A (2003)",action comedy crime thriller year2003,agoodnighttodie
51 Degrees North (2015),drama mystery scifi thriller year2015,51degreesnorth
Otis (2008),comedy crime horror thriller year2008,otis
Hunting Season (2010),crime drama mystery thriller year2010,huntingseason
Johnny Eager (1942),crime drama filmnoir romance year1942,johnnyeager
The Dark Side of The Moon (1990),action horror scifi thriller year1990,thedarksideofthemoon
49th Parallel (1941),adventure drama thriller war year1941,49thparallel
Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),crime drama mystery thriller year2005,ladyvengeancesympathyforladyvengeancechinjeolhangeumjassi
Follow Me Quietly (1949),crime drama filmnoir mystery year1949,followmequietly
The Land Before Time X: The Great Longneck Migration (2003),adventure animation children year2003,thelandbeforetimexthegreatlongneckmigration
The Land Before Time VIII: The Big Freeze (2001),adventure animation children year2001,thelandbeforetimeviiithebigfreeze
You Are Umasou (2010),adventure animation children year2010,youareumasou
Anaconda: The Offspring (2008),action horror scifi thriller year2008,anacondatheoffspring
Love on a Leash (2011),comedy drama fantasy romance year2011,loveonaleash
"General's Daughter, The (1999)",crime drama mystery thriller year1999,thegeneralsdaughter
The Manchu Eagle Murder Caper Mystery (1975),comedy crime mystery romance year1975,themanchueaglemurdercapermystery
Shadows in an Empty Room (1976),crime drama mystery thriller year1976,shadowsinanemptyroom
"Postman, The (1997)",action adventure drama scifi year1997,thepostman
"Colony, The (2013)",action horror scifi thriller year2013,thecolony
Lake Placid: The Final Chapter (2012),action horror scifi thriller year2012,lakeplacidthefinalchapter
Lake Placid 3 (2010),action horror scifi thriller year2010,lakeplacid3
Red 2 (2013),action comedy crime thriller year2013,red2
Gunmen (1993),action comedy crime thriller year1993,gunmen
Passion (2012),crime drama mystery thriller year2012,passion
The Hunt (2006),action horror scifi thriller year2006,thehunt
Raabta (2017),comedy drama mystery romance year2017,raabta
Johnny Apollo (1940),crime drama filmnoir romance year1940,johnnyapollo
The Shadow of the Eagle (1932),crime drama mystery thriller year1932,theshadowoftheeagle
Digimon: The Movie (2000),adventure animation children year2000,digimonthemovie
Champagne Charlie (1944),comedy drama musical romance year1944,champagnecharlie
War Drums (1957),action drama romance western year1957,wardrums
Resident Evil: Extinction (2007),action horror scifi thriller year2007,residentevilextinction
Idiot's Delight (1939),comedy drama musical romance year1939,idiotsdelight
The Meg (2018),action horror scifi thriller year2018,themeg
"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",action horror scifi thriller year1984,godzilla1985thelegendisreborngojiragodzillareturnofgodzillathe
"Marriage Made in Heaven, A (Rab Ne Bana Di Jodi) (2008)",comedy drama musical romance year2008,marriagemadeinheavenarabnebanadijodi
In Old Santa Fe (1934),comedy crime romance western year1934,inoldsantafe
Deep Blue Sea (1999),action horror scifi thriller year1999,deepbluesea
Carnage Park (2016),action crime horror thriller year2016,carnagepark
Blood Work (2002),crime drama mystery thriller year2002,bloodwork
The Adventurers (2017),action adventure crime drama year2017,theadventurers
Pedro Páramo (1967),drama fantasy horror mystery year1967,pedropramo
Trolls (2016),adventure animation children year2016,trolls
Five Loose Women (1974),action adventure crime drama year1974,fiveloosewomen
"Exterminating Angel, The (Ángel exterminador, El) (1962)",comedy drama fantasy mystery year1962,exterminatingangelthengelexterminadorel
The Wolves (1971),action comedy drama thriller year1971,thewolves
Simran (2017),crime drama romance thriller year2017,simran
Destiny (Al-massir) (1997),comedy drama musical romance year1997,destinyalmassir
"Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)",action comedy crime thriller year2005,protectortheakawarriorkingtomyumgoong
Sweet Charity (1969),comedy drama musical romance year1969,sweetcharity
Kirikou and the Wild Beast (Kirikou et les bêtes sauvages) (2005),adventure animation children year2005,kirikouandthewildbeastkirikouetlesbtessauvages
Stranger than Fiction (2006),comedy drama fantasy romance year2006,strangerthanfiction
Wild Palms (1993),drama mystery scifi thriller year1993,wildpalms
Red State (2011),action crime horror thriller year2011,redstate
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009),action animation drama scifi year2009,evangelion2youcannotadvanceevangerionshingekijbanha
The Flying Machine (2011),adventure animation children year2011,theflyingmachine
Bronson (2009),action comedy drama thriller year2009,bronson
Taking Flight (2015),adventure animation children year2015,takingflight
Lady in Cement (1968),crime drama mystery thriller year1968,ladyincement
Human Trafficking (2005),crime drama mystery thriller year2005,humantrafficking
"Air I Breathe, The (2007)",crime drama romance thriller year2007,theairibreathe
Stick (1985),action adventure crime drama year1985,stick
Lagaan: Once Upon a Time in India (2001),comedy drama musical romance year2001,lagaanonceuponatimeinindia
"Thomas Crown Affair, The (1968)",crime drama romance thriller year1968,thethomascrownaffair
Pirate's Passage (2015),adventure animation children year2015,piratespassage
Lost Woods (2012),action horror scifi thriller year2012,lostwoods
Mystery of Edwin Drood (1935),drama horror mystery romance year1935,mysteryofedwindrood
The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016),comedy horror scifi thriller year2016,therockyhorrorpictureshowletsdothetimewarpagain
Ca$h (2008),action comedy crime thriller year2008,cah
Blood and Chocolate (2007),drama fantasy horror romance year2007,bloodandchocolate
Encounter at Raven's Gate (1988),drama fantasy scifi thriller year1988,encounteratravensgate
Evil Dead II (Dead by Dawn) (1987),action comedy fantasy horror year1987,evildeadiideadbydawn
The Highwaymen (2019),crime drama mystery thriller year2019,thehighwaymen
Shoot the Piano Player (Tirez sur le pianiste) (1960),crime drama romance thriller year1960,shootthepianoplayertirezsurlepianiste
Father Goose (1964),adventure comedy romance war year1964,fathergoose
"Woman Is a Woman, A (femme est une femme, Une) (1961)",comedy drama musical romance year1961,womanisawomanafemmeestunefemmeune
The Boxcar Children (2014),adventure animation children year2014,theboxcarchildren
Never Talk to Strangers (1995),crime drama romance thriller year1995,nevertalktostrangers
Moss (2010),crime drama mystery thriller year2010,moss
Venom (2018),action horror scifi thriller year2018,venom
"Interview, The (1998)",crime drama mystery thriller year1998,theinterview
Vipers (2008),action horror scifi thriller year2008,vipers
Wild Things (1998),crime drama mystery thriller year1998,wildthings
Tea Pets (2017),adventure animation children year2017,teapets
Cold & Dark (2005),action crime horror thriller year2005,colddark
Blind Date (1959),crime drama mystery thriller year1959,blinddate
Right Now (À tout de suite) (2004),crime drama romance thriller year2004,rightnowtoutdesuite
Stone of Destiny (2008),adventure comedy crime drama year2008,stoneofdestiny
The Land Before Time XIV: Journey of the Brave (2016),adventure animation children year2016,thelandbeforetimexivjourneyofthebrave
Criminal Lovers (1999),crime drama romance thriller year1999,criminallovers
Fifty-Fifty (a.k.a. Schizo) (Shiza) (2004),crime drama romance thriller year2004,fiftyfiftyakaschizoshiza
Prime Suspect 7: The Final Act (2006),crime drama mystery thriller year2006,primesuspect7thefinalact
Nothing Too Good for a Cowboy (1998),action drama romance western year1998,nothingtoogoodforacowboy
Daybreakers (2010),action drama horror thriller year2010,daybreakers
Big (1988),comedy drama fantasy romance year1988,big
Diary of June (2005),crime drama mystery thriller year2005,diaryofjune
Elektra (2005),action adventure crime drama year2005,elektra
Holiday Camp (1947),adventure comedy crime drama year1947,holidaycamp
Brainscan (1994),comedy horror scifi thriller year1994,brainscan
Mother (Madeo) (2009),crime drama mystery thriller year2009,mothermadeo
Hannah Montana: The Movie (2009),comedy drama musical romance year2009,hannahmontanathemovie
"X-Files: I Want to Believe, The (2008)",drama mystery scifi thriller year2008,thexfilesiwanttobelieve
Mr. Moto in Danger Island (1939),crime drama mystery thriller year1939,mrmotoindangerisland
The Man Who Cheated Himself (1950),crime drama mystery thriller year1950,themanwhocheatedhimself
Major Grom (2017),action adventure drama scifi year2017,majorgrom
AVP: Alien vs. Predator (2004),action horror scifi thriller year2004,avpalienvspredator
Black Mask II (2002),action adventure drama scifi year2002,blackmaskii
Night of the Creeps (1986),comedy horror scifi thriller year1986,nightofthecreeps
Stolen (Stolen Lives) (2009),crime drama mystery thriller year2009,stolenstolenlives
Pig (2011),drama mystery scifi thriller year2011,pig
Action Jackson (1988),action comedy crime thriller year1988,actionjackson
Coherence (2013),drama mystery scifi thriller year2013,coherence
Bandido (1956),action adventure war western year1956,bandido
Crackers (1984),action comedy crime thriller year1984,crackers
The Return of Mr. Moto (1965),crime drama mystery thriller year1965,thereturnofmrmoto
Step by Step (1946),crime drama mystery thriller year1946,stepbystep
The Ransom of Red Chief (1998),action children comedy drama year1998,theransomofredchief
Alien Zone (1978),action horror scifi thriller year1978,alienzone
Khan Kluay (2006),adventure animation children year2006,khankluay
The Forbidden Room (2015),comedy drama mystery romance year2015,theforbiddenroom
Under the Cherry Moon (1986),comedy drama musical romance year1986,underthecherrymoon
"Spanish Prisoner, The (1997)",crime drama mystery thriller year1997,thespanishprisoner
The Murder Man (1935),crime drama romance thriller year1935,themurderman
High School Musical 2 (2007),comedy drama musical romance year2007,highschoolmusical2
"Nutty Professor, The (1996)",comedy fantasy romance scifi year1996,thenuttyprofessor
The Outsider (2002),action drama romance western year2002,theoutsider
Postman Pat: The Movie (2014),adventure animation children year2014,postmanpatthemovie
Guardian Angels (1995),action comedy crime thriller year1995,guardianangels
Karlson Returns (1970),adventure animation children year1970,karlsonreturns
Little Longnose (2003),adventure animation children year2003,littlelongnose
"Boston Strangler, The (1968)",crime drama mystery thriller year1968,thebostonstrangler
"Forgotten, The (2004)",drama mystery scifi thriller year2004,theforgotten
Resident Evil: Apocalypse (2004),action horror scifi thriller year2004,residentevilapocalypse
In Order of Disappearance (Kraftidioten) (2014),action comedy crime thriller year2014,inorderofdisappearancekraftidioten
Let the Right One In (Låt den rätte komma in) (2008),drama fantasy horror romance year2008,lettherightoneinltdenrttekommain
Double Cross (1994),crime drama romance thriller year1994,doublecross
P.S. (2004),comedy drama fantasy romance year2004,ps
Flic Story (1975),crime drama mystery thriller year1975,flicstory
Distance Between Dreams (2016),action adventure documentary year2016,distancebetweendreams
Thorne: Scaredy Cat (2010),crime drama mystery thriller year2010,thornescaredycat
Project Viper (2002),action horror scifi thriller year2002,projectviper
Orca: The Killer Whale (1977),action drama horror thriller year1977,orcathekillerwhale
I Have Found It (Kandukondain Kandukondain) (2000),comedy drama musical romance year2000,ihavefounditkandukondainkandukondain
Dinosaur (2000),adventure animation children year2000,dinosaur
Magic Boy (1961),adventure animation children year1961,magicboy
"Glass Key, The (1942)",crime drama filmnoir mystery year1942,theglasskey
"Badge, The (2002)",crime drama mystery thriller year2002,thebadge
Alone in the Dark (2005),action horror scifi thriller year2005,aloneinthedark
Alatriste (2006),action adventure romance war year2006,alatriste
The Real Life of Johannes Pääsuke (2019),adventure comedy documentary year2019,thereallifeofjohannespsuke
Beverly Hills Cop III (1994),action comedy crime thriller year1994,beverlyhillscopiii
The Banana Splits Movie (2019),action comedy horror mystery year2019,thebananasplitsmovie
"Bothersome Man, The (Brysomme mannen, Den) (2006)",comedy drama fantasy mystery year2006,bothersomemanthebrysommemannenden
The Face Behind the Mask (1941),crime drama filmnoir romance year1941,thefacebehindthemask
"Walk Softly, Stranger (1950)",crime drama filmnoir romance year1950,walksoftlystranger
Stagecoach (1939),action drama romance western year1939,stagecoach
Ivan Tsarevich & the Grey Wolf 3 (2016),adventure animation children year2016,ivantsarevichthegreywolf3
Ivan Tsarevich & the Grey Wolf 2 (2013),adventure animation children year2013,ivantsarevichthegreywolf2
Four Eyed Monsters (2005),comedy drama fantasy romance year2005,foureyedmonsters
Kill the Messenger (2014),crime drama mystery thriller year2014,killthemessenger
"Black Coal, Thin Ice (Bai ri yan huo) (2014)",crime drama mystery thriller year2014,blackcoalthinicebairiyanhuo
Cry Wolf (1947),crime drama mystery thriller year1947,crywolf
"Bon Cop, Bad Cop (2006)",action comedy crime thriller year2006,boncopbadcop
Angels Over Broadway (1940),adventure comedy crime drama year1940,angelsoverbroadway
Smart House (1999),children drama fantasy scifi year1999,smarthouse
Love on the Ground (1984),comedy drama fantasy romance year1984,loveontheground
Into the Night (1985),action comedy drama thriller year1985,intothenight
Hamlet (2000),crime drama romance thriller year2000,hamlet
The Shooter (2013),crime drama mystery thriller year2013,theshooter
Harvard Man (2001),crime drama romance thriller year2001,harvardman
Fast Company (1938),comedy drama mystery romance year1938,fastcompany
Hidden in the Woods (2012),action drama horror thriller year2012,hiddeninthewoods
Lethal Weapon 4 (1998),action comedy crime thriller year1998,lethalweapon4
Bees Make Honey (2018),comedy drama mystery romance year2018,beesmakehoney
Cairo (1942),comedy drama musical romance year1942,cairo
Gnome Alone (2017),adventure animation children year2017,gnomealone
Gulliver's Travels (1939),adventure animation children year1939,gulliverstravels
The Pokrovsky Gates (1983),comedy drama musical romance year1983,thepokrovskygates
Rush Hour (1998),action comedy crime thriller year1998,rushhour
"Think Fast, Mr. Moto (1937)",crime drama mystery thriller year1937,thinkfastmrmoto
Memories of Murder (Salinui chueok) (2003),crime drama mystery thriller year2003,memoriesofmurdersalinuichueok
Tactical Force (2011),action comedy crime thriller year2011,tacticalforce
"Killer Inside Me, The (2010)",crime drama thriller western year2010,thekillerinsideme
22 Female Kottayam (2012),crime drama romance thriller year2012,22femalekottayam
"Tempest, The (2010)",comedy drama fantasy romance year2010,thetempest
Ocean's Twelve (2004),action comedy crime thriller year2004,oceanstwelve
Ice Blues (2008),crime drama mystery thriller year2008,iceblues
Brick (2005),crime drama filmnoir mystery year2005,brick
Bending Colours (2012),action adventure documentary year2012,bendingcolours
Return to Never Land (2002),adventure animation children year2002,returntoneverland
Sundown: The Vampire in Retreat (1989),action comedy horror western year1989,sundownthevampireinretreat
The Wild World of Batwoman (1966),adventure comedy crime scifi year1966,thewildworldofbatwoman
"Darkest Hour, The (2011)",action horror scifi thriller year2011,thedarkesthour
Shock to the System (2006),crime drama mystery thriller year2006,shocktothesystem
Black Mirror: Bandersnatch (2018),drama mystery scifi thriller year2018,blackmirrorbandersnatch
Juliet of the Spirits (Giulietta degli spiriti) (1965),comedy drama fantasy romance year1965,julietofthespiritsgiuliettadeglispiriti
The Eyes (2017),crime drama mystery thriller year2017,theeyes
Badla (2019),crime drama mystery thriller year2019,badla
Giratina and the Sky Warrior (2008),adventure animation children year2008,giratinaandtheskywarrior
Tarzan II (2005),adventure animation children year2005,tarzanii
Adventures of Mowgli: The Fight (1970),adventure animation children year1970,adventuresofmowglithefight
Adventures of Mowgli: Akela's Last Hunt (1969),adventure animation children year1969,adventuresofmowgliakelaslasthunt
Adventures of Mowgli: Return to Mankind (1971),adventure animation children year1971,adventuresofmowglireturntomankind
Azur & Asmar (Azur et Asmar) (2006),adventure animation children year2006,azurasmarazuretasmar
Back to the Jurassic (2015),adventure animation children year2015,backtothejurassic
It's All About Love (2003),drama romance scifi thriller year2003,itsallaboutlove
Tottoi (1992),adventure animation children year1992,tottoi
"Cottage, The (2008)",comedy crime horror thriller year2008,thecottage
Rahtree: Flower of the Night (Buppha Rahtree) (2003),comedy drama horror thriller year2003,rahtreeflowerofthenightbuppharahtree
Mutant Hunt (1987),action horror scifi thriller year1987,mutanthunt
THX 1138 (1971),action adventure drama scifi year1971,thx1138
Sgt. Stubby: An American Hero (2018),adventure animation children year2018,sgtstubbyanamericanhero
Virus (1980),adventure drama horror scifi year1980,virus
The Dark Tower (2017),fantasy horror scifi western year2017,thedarktower
"On the Other Hand, Death (2008)",crime drama mystery thriller year2008,ontheotherhanddeath
Formula 51 (2001),action comedy crime thriller year2001,formula51
"Diebuster ""Top wo Narae 2"" (2004)",action animation drama scifi year2004,diebustertopwonarae2
Gunbuster (Top wo Narae) (1988),action animation drama scifi year1988,gunbustertopwonarae
"Perfect Murder, The (1988)",action comedy crime thriller year1988,theperfectmurder
Killer Buzz (2001),action horror scifi thriller year2001,killerbuzz
La Otra (1946),crime drama mystery thriller year1946,laotra
Scooby-Doo! Stage Fright (2013),adventure animation children year2013,scoobydoostagefright
"Poor Little Rich Girl, The (1917)",comedy drama fantasy romance year1917,thepoorlittlerichgirl
"Bannen Way, The (2010)",action comedy crime thriller year2010,thebannenway
Kabhi Haan Kabhi Naa (1994),comedy drama musical romance year1994,kabhihaankabhinaa
Shadow (1971),comedy drama fantasy romance year1971,shadow
Hustle (1975),crime drama mystery thriller year1975,hustle
"File on Thelma Jordan, The (1950)",crime drama filmnoir mystery year1950,thefileonthelmajordan
Stephanie (2017),drama fantasy horror mystery year2017,stephanie
Mobile Suit Gundam 00: Awakening of the Trailblazer (2010),action animation drama scifi year2010,mobilesuitgundamawakeningofthetrailblazer
Zaytoun (2012),adventure drama thriller war year2012,zaytoun
Grey Owl (1999),action drama romance western year1999,greyowl
The Rosary Murders (1987),crime drama mystery thriller year1987,therosarymurders
Flatfoot in Hong Kong (1975),action comedy drama thriller year1975,flatfootinhongkong
Anacondas: Trail of Blood (2009),action horror scifi thriller year2009,anacondastrailofblood
Get the Girl (2017),action comedy crime thriller year2017,getthegirl
Barocco (1976),crime drama romance thriller year1976,barocco
"Lawnmower Man, The (1992)",action horror scifi thriller year1992,thelawnmowerman
Encounters of the Spooky Kind (1980),action comedy fantasy horror year1980,encountersofthespookykind
Basic Instinct 2 (2006),crime drama mystery thriller year2006,basicinstinct2
I'm a Killer (2016),crime drama mystery thriller year2016,imakiller
Show Boat (1936),comedy drama musical romance year1936,showboat
Night Nurse (1931),crime drama mystery thriller year1931,nightnurse
Kansas City Confidential (1952),crime drama filmnoir mystery year1952,kansascityconfidential
Donnie Darko (2001),drama mystery scifi thriller year2001,donniedarko
Battle Royale (Batoru rowaiaru) (2000),action drama horror thriller year2000,battleroyalebatorurowaiaru
Subway (1985),crime drama romance thriller year1985,subway
VANish (2015),action crime horror thriller year2015,vanish
Death of a President (2006),crime drama mystery thriller year2006,deathofapresident
Cenizas del Paraiso (1997),crime drama mystery thriller year1997,cenizasdelparaiso
"Godfather: Part III, The (1990)",crime drama mystery thriller year1990,thegodfatherpartiii
Sapphire (1959),crime drama mystery thriller year1959,sapphire
Thunderclump (1974),adventure animation children year1974,thunderclump
Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five (2014),adventure animation children year2014,doraemonnewnobitasgreatdemonpekoandtheexplorationpartyoffive
Steel (1979),action adventure crime drama year1979,steel
Angel-A (2005),comedy drama fantasy romance year2005,angela
Jewel Thief (1967),crime drama mystery thriller year1967,jewelthief
Blithe Spirit (1945),comedy drama fantasy romance year1945,blithespirit
Frankenweenie (2012),animation comedy horror imax year2012,frankenweenie
Sucker Punch (2011),action fantasy thriller imax year2011,suckerpunch
Across the Pacific (1942),action adventure romance war year1942,acrossthepacific
Meskada (2010),crime drama mystery thriller year2010,meskada
Dragon Hunters (Chasseurs de dragons) (2008),adventure animation children year2008,dragonhunterschasseursdedragons
Junior and Karlson (1968),adventure animation children year1968,juniorandkarlson
Lucia (2013),drama romance scifi thriller year2013,lucia
"Pro Fedota-streltsa, udalogo molodtsa (2008)",adventure animation children year2008,profedotastreltsaudalogomolodtsa
Siruthai (2011),action comedy drama thriller year2011,siruthai
Choppertown: The Sinners (2005),action adventure documentary year2005,choppertownthesinners
Priest (2011),action horror scifi thriller year2011,priest
Police Story (Ging chaat goo si) (1985),action comedy crime thriller year1985,policestorygingchaatgoosi
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",crime drama mystery thriller year2009,girlwiththedragontattoothemnsomhatarkvinnor
Side Effects (2013),crime drama mystery thriller year2013,sideeffects
Dust to Glory (2005),action adventure documentary year2005,dusttoglory
Kabul Express (2006),action comedy drama thriller year2006,kabulexpress
Adventures of Kitty O'Day (Kitty O'Day Comes Through) (1945),comedy crime mystery romance year1945,adventuresofkittyodaykittyodaycomesthrough
Soylent Green (1973),drama mystery scifi thriller year1973,soylentgreen
Om Shanti Om (2007),action drama musical romance year2007,omshantiom
Kindergarten Cop (1990),action comedy crime thriller year1990,kindergartencop
Thieves After Dark (1984),crime drama romance thriller year1984,thievesafterdark
Mermaids (2003),action crime fantasy romance year2003,mermaids
The Golden Hawk (1952),action adventure romance war year1952,thegoldenhawk
The First Purge (2018),action horror scifi thriller year2018,thefirstpurge
"Singing Detective, The (2003)",comedy drama musical mystery year2003,thesingingdetective
Brother Bear (2003),adventure animation children year2003,brotherbear
Exaella (2011),action animation drama scifi year2011,exaella
The Priests (2015),crime drama mystery thriller year2015,thepriests
Bad Boys II (2003),action comedy crime thriller year2003,badboysii
Anthony Zimmer (2005),crime drama romance thriller year2005,anthonyzimmer
21 (2008),crime drama romance thriller year2008,21
"Naked City, The (1948)",crime drama filmnoir mystery year1948,thenakedcity
"Mask of Dimitrios, The (1944)",crime drama filmnoir mystery year1944,themaskofdimitrios
The Dog In Boots (1981),adventure animation children year1981,thedoginboots
"Brasher Doubloon, The (1947)",crime drama filmnoir mystery year1947,thebrasherdoubloon
Defending Your Life (1991),comedy drama fantasy romance year1991,defendingyourlife
Ice Age: A Mammoth Christmas (2011),adventure animation children year2011,iceageamammothchristmas
The Hidden Hand (1942),comedy drama mystery romance year1942,thehiddenhand
French Cancan (1954),comedy drama musical romance year1954,frenchcancan
"Flock, The (2007)",crime drama mystery thriller year2007,theflock
"Charge of the Light Brigade, The (1936)",action adventure romance war year1936,thechargeofthelightbrigade
"Prestige, The (2006)",drama mystery scifi thriller year2006,theprestige
The Body of My Enemy (1976),crime drama mystery thriller year1976,thebodyofmyenemy
Whirlpool (1949),crime drama filmnoir mystery year1949,whirlpool
The Junkman (1982),action comedy crime thriller year1982,thejunkman
The Arnelo Affair (1947),crime drama filmnoir romance year1947,thearneloaffair
Captives (1994),crime drama romance thriller year1994,captives
The Night Manager (2016),crime drama mystery thriller year2016,thenightmanager
The Last Five Years (2014),comedy drama musical romance year2014,thelastfiveyears
Confidential Report (1955),crime drama mystery thriller year1955,confidentialreport
Glossary of Broken Dreams (2018),animation comedy documentary year2018,glossaryofbrokendreams
Primal Fear (1996),crime drama mystery thriller year1996,primalfear
Lassiter (1984),crime drama mystery thriller year1984,lassiter
American Ultra (2015),action comedy scifi thriller year2015,americanultra
Shinobi: Heart Under Blade (2005),action drama fantasy romance year2005,shinobiheartunderblade
Robo Vampire (1988),action crime horror thriller year1988,robovampire
Steamboy (Suchîmubôi) (2004),action animation drama scifi year2004,steamboysuchmubi
Red Riding: 1974 (2009),crime drama mystery thriller year2009,redriding1974
White Tiger (2012),action adventure fantasy war year2012,whitetiger
Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),action animation crime scifi year2005,ghostintheshellstandalonecomplexthelaughingman
Alien vs. Ninja (2010),action horror scifi thriller year2010,alienvsninja
Fear City (1984),crime drama mystery thriller year1984,fearcity
"Purple Rose of Cairo, The (1985)",comedy drama fantasy romance year1985,thepurpleroseofcairo
How to Train Your Dragon: The Hidden World (2019),adventure animation children year2019,howtotrainyourdragonthehiddenworld
"Rob Roy, The Highland Rogue (1954)",adventure children drama war year1954,robroythehighlandrogue
Welcome the Stranger (2018),drama mystery scifi thriller year2018,welcomethestranger
Twin Peaks: Fire Walk with Me (1992),crime drama mystery thriller year1992,twinpeaksfirewalkwithme
Ana Maria in Novela Land (2015),comedy drama fantasy romance year2015,anamariainnovelaland
"Rescuers Down Under, The (1990)",adventure animation children year1990,therescuersdownunder
101 Dalmatians (One Hundred and One Dalmatians) (1961),adventure animation children year1961,11dalmatiansonehundredandonedalmatians
Incident at Loch Ness (2004),adventure comedy documentary year2004,incidentatlochness
A Is For Acid (2002),crime drama mystery thriller year2002,aisforacid
Maigret and the St. Fiacre Case (1959),crime drama mystery thriller year1959,maigretandthestfiacrecase
Scooby-Doo! Moon Monster Madness (2015),adventure animation children year2015,scoobydoomoonmonstermadness
Virginia City (1940),action drama romance western year1940,virginiacity
Wonderland (2003),crime drama mystery thriller year2003,wonderland
Automatic (1995),action horror scifi thriller year1995,automatic
Katy Caterpillar (1984),adventure animation children year1984,katycaterpillar
Organ (1996),action drama horror thriller year1996,organ
Younger and Younger (1993),comedy drama fantasy romance year1993,youngerandyounger
Adventures of Mowgli: The Kidnapping (1968),adventure animation children year1968,adventuresofmowglithekidnapping
The Driftless Area (2015),comedy drama mystery romance year2015,thedriftlessarea
The Beautiful Prisoner (1983),drama fantasy horror mystery year1983,thebeautifulprisoner
Pal Joey (1957),comedy drama musical romance year1957,paljoey
Every Secret Thing (2014),crime drama mystery thriller year2014,everysecretthing
Ocean's 8 (2018),action comedy crime thriller year2018,oceans8
Angels & Demons (2009),crime drama mystery thriller year2009,angelsdemons
"Quiet, The (2005)",crime drama mystery thriller year2005,thequiet
Dead Fish (2004),action comedy drama thriller year2004,deadfish
Patient Zero (2017),action drama horror thriller year2017,patientzero
Blue Skies (1946),comedy drama musical romance year1946,blueskies
"Black Dahlia, The (2006)",crime drama mystery thriller year2006,theblackdahlia
